Emp ID,First Name,Last Name,Gender,E Mail,Date of Birth,Date of Joining,Age in Company (Years),Salary,Last % Hike,Place Name,County,State,Zip
526540,Angelique,Goodwin,F,angelique.goodwin@gmail.com,5/15/1964,3/24/2001,16.36,193710,27%,Rochester,Monroe,NY,14624
859327,Jeni,Shaffer,F,jeni.shaffer@gmail.com,1/13/1962,12/10/2015,1.63,144133,30%,Luverne,Crenshaw,AL,36049
887387,Donald,Farris,F,donald.farris@bellsouth.net,4/11/1958,11/12/1979,37.73,132617,18%,Hodges,Franklin,AL,35571
779497,Steven,Rendon,M,steven.rendon@gmail.com,4/4/1982,9/18/2008,8.86,77898,15%,Savoy,Champaign,IL,61874
896517,Jenell,Almanza,F,jenell.almanza@yahoo.com,7/1/1958,7/14/1993,24.05,139856,6%,Stet,Carroll,MO,64680
220965,Almeta,Brookins,F,almeta.brookins@gmail.com,5/8/1985,4/25/2017,0.26,90576,23%,Lyons,Toombs,GA,30436
721091,Bobbie,Branson,M,bobbie.branson@hotmail.com,2/10/1996,4/27/2017,0.25,178641,10%,Kalida,Putnam,OH,45853
633636,Bertram,Carlisle,M,bertram.carlisle@aol.com,12/31/1982,11/2/2012,4.74,163773,10%,Hamilton,Jefferson,PA,15744
823898,Carlton,Leclair,M,carlton.leclair@cox.net,3/17/1986,1/7/2009,8.56,50397,29%,Panama,Shelby,IA,51562
413865,Todd,Slater,M,todd.slater@earthlink.net,6/9/1995,3/7/2017,0.39,54458,12%,Young America,Carver,MN,55558
439483,Adalberto,Hazel,M,adalberto.hazel@yahoo.co.in,12/8/1959,4/27/1995,22.27,120471,10%,Bear Creek,Outagamie,WI,54922
809408,Seymour,Nelson,M,seymour.nelson@hotmail.com,1/21/1996,7/2/2017,0.07,77853,29%,Harleysville,Montgomery,PA,19441
748190,Vicente,Dawkins,M,vicente.dawkins@gmail.com,6/17/1994,7/2/2016,1.07,169446,11%,Reddick,Kankakee,IL,60961
397283,Rex,Ng,M,rex.ng@yahoo.com,8/22/1982,1/17/2007,10.53,153446,7%,Kreamer,Snyder,PA,17833
553684,Arlena,Clough,F,arlena.clough@yahoo.com,10/15/1957,12/26/2015,1.59,95109,15%,Sublette,Haskell,KS,67877
495667,Cory,Clarke,M,cory.clarke@shell.com,6/2/1980,4/27/2012,5.25,179134,16%,Mesa,Maricopa,AZ,85207
936158,Sofia,Poole,F,sofia.poole@earthlink.net,12/3/1964,7/18/1993,24.04,150019,24%,Brockway,Jefferson,PA,15824
537591,Samuel,Wendt,M,samuel.wendt@bellsouth.net,11/25/1976,2/24/2016,1.42,198487,26%,Atlanta,Fulton,GA,30371
909018,Virgil,Trowbridge,M,virgil.trowbridge@aol.com,4/6/1986,11/21/2016,0.68,199714,11%,Washington,District of Columbia,DC,20242
878666,Elda,Champagne,F,elda.champagne@gmail.com,5/21/1983,11/8/2016,0.72,146140,4%,Lake Itasca,Lake Itasca,MN,56460
995710,Robert,Guinn,M,robert.guinn@walmart.com,6/14/1972,1/8/1997,20.56,86539,12%,Montpelier,Blackford,IN,47359
