Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
847428,Ms.,Walter,D,Goldberg,F,walter.goldberg@aol.com,Alonzo Goldberg,Lashay Goldberg,Archie,1/19/1967,6:02:07 AM,50.56,42,9/30/1991,Q3,H2,1991,9,September,Sep,30,Monday,Mon,25.84,57465,0%,687-24-6867,209-851-5183,Sunnyvale,Santa Clara,Sunnyvale,CA,94090,West,wdgoldberg,6P1q+|}0p.s{zmm
946350,Mrs.,Lulu,I,Collett,F,lulu.collett@hotmail.com,Arden Collett,Austin Collett,Trotter,6/24/1987,10:01:02 PM,30.12,40,6/6/2015,Q2,H1,2015,6,June,Jun,6,Saturday,Sat,2.15,102942,1%,396-33-3847,212-238-4774,Flushing,Queens,Flushing,NY,11353,Northeast,licollett,Gix/UG!bwVG?\53
321420,Mrs.,Sybil,P,Bogan,F,sybil.bogan@gmail.com,Matthew Bogan,Marquitta Bogan,Nowell,8/21/1964,7:06:08 PM,52.97,48,9/16/1995,Q3,H2,1995,9,September,Sep,16,Saturday,Sat,21.88,181051,26%,690-22-6926,210-629-5940,Princeton,Collin,Princeton,TX,75407,South,spbogan,o]n8cY{T;T
719891,Prof.,Tom,Y,Dingle,M,tom.dingle@gmail.com,Francesco Dingle,Malissa Dingle,Wertz,11/5/1985,1:34:23 AM,31.75,73,11/27/2010,Q4,H2,2010,11,November,Nov,27,Saturday,Sat,6.67,71041,11%,327-11-6783,215-658-5871,Lucinda,Clarion,Lucinda,PA,16235,Northeast,tydingle,76c6}-R\z[
999307,Mr.,Daryl,C,Treadwell,M,daryl.treadwell@verizon.net,Moshe Treadwell,Phyllis Treadwell,Schwarz,7/7/1977,12:30:40 AM,40.08,54,4/10/2014,Q2,H1,2014,4,April,Apr,10,Thursday,Thu,3.3,87411,6%,211-84-3295,225-622-2835,Torbert,Pointe Coupee,Torbert,LA,70781,South,dctreadwell,8Wq?HZS[MhF
143722,Ms.,Deanna,D,Sandlin,F,deanna.sandlin@gmail.com,Florentino Sandlin,Migdalia Sandlin,Fabian,2/10/1986,2:49:03 AM,31.48,49,10/5/2016,Q4,H2,2016,10,October,Oct,5,Wednesday,Wed,0.81,110652,13%,065-02-7598,217-791-2649,Gardner,Grundy,Gardner,IL,60424,Midwest,ddsandlin,d6Yuke~wR>jqbVH
397780,Dr.,Stefan,G,Magee,M,stefan.magee@exxonmobil.com,Bernard Magee,Liliana Magee,Custer,12/9/1970,6:09:58 AM,46.67,84,10/3/1993,Q4,H2,1993,10,October,Oct,3,Sunday,Sun,23.83,118364,5%,113-98-0943,803-298-2469,Myrtle Beach,Horry,Myrtle Beach,SC,29587,South,sgmagee,DEeD|XOj+oR
258625,Dr.,Tyron,R,Ginn,M,tyron.ginn@gmail.com,Duncan Ginn,Tommie Ginn,Manzo,9/12/1963,12:35:06 PM,53.91,57,12/22/2005,Q4,H2,2005,12,December,Dec,22,Thursday,Thu,11.61,61680,5%,521-99-3310,217-949-1626,Trenton,Clinton,Trenton,IL,62293,Midwest,trginn,ItX^U#\wgMgF5rS
983142,Ms.,Azzie,M,Peyton,F,azzie.peyton@yahoo.com,Tony Peyton,Patricia Peyton,Karr,4/30/1980,8:11:17 PM,37.27,60,7/8/2015,Q3,H2,2015,7,July,Jul,8,Wednesday,Wed,2.06,145419,12%,764-29-8757,210-298-5099,El Paso,El Paso,El Paso,TX,88572,South,ampeyton,6pE5-XTx+r~
680110,Dr.,Garret,R,Lavigne,M,garret.lavigne@aol.com,Charlie Lavigne,Augustina Lavigne,Whiting,10/5/1979,8:58:34 PM,37.84,66,8/14/2013,Q3,H2,2013,8,August,Aug,14,Wednesday,Wed,3.96,190405,21%,265-99-4185,212-833-2905,New York City,New York,New York City,NY,10046,Northeast,grlavigne,NjJeMV[97
